species_name,EIV_light,EIV_temp,EIV_moist,EIV_react,EIV_nutr,dist_freq,dist_sev,GF_annual,GF_monocarpic,GF_polycarpic,GF_clonal,GF_dwarf,GF_shrub,GF_tree,LS_Pierce_C,LS_Pierce_S,LS_Pierce_R,LLS_overwintering_green,LLS_spring_green,LLS_summer_green,LLS_evergreen,LA_succulent,LA_scleromorphic,LA_mesomorphic,LA_hygromorphic,LA_helomorphic,LA_hydromorphic,SLA,GR_allogamy,GR_autogamy,GR_mixed_mating,GR_apomixis,wind_pollination,insect_pollination,selfing,DS_Allium,DS_Bidens,DS_Cornus,DS_Epilobium,DS_Lycopodium,DS_Phragmites,DS_Sparganium,DS_Zea,myrmecochorous,Par_autotrophic,Par_parasite,Par_mycoheterotroph,symbiosis_N_fixers,no_nitrogen_fixing,eco_spec_all,colonization_success,colonization_potential,expansive,grass,graminoid,non_myrmecochorous,LC,NT,VU,EN,CR,native,archaeophyte,neophyte,log_leaf_size,log_height_mean
Abies alba,3,5,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,2.31,97.69,0,0,0,0,1,0,0.5,0.5,0,0,0,5.87,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.48,3,2,0,0,0,0,1,0,0,0,0,1,0,0,1.615423952885944,1.6020599913279623
Acer campestre,NA,6,5,7,6,NA,NA,0,0,0,0,0,0.5,0.5,41.46,47.01,11.52,0,0,1,0,0,0,1,0,0,0,14.53666667,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.86,8,8,1,0,0,0,1,0,0,0,0,1,0,0,3.675915754895261,0.8750612633917001
Acer negundo,6,6,6,7,7,NA,NA,0,0,0,0,0,0,1,50.38,23.31,26.31,0,0,1,0,0,0,1,0,0,0,25.1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.57,5,9,0,0,0,0,1,0,0,0,0,0,0,1,NA,1.1760912590556813
Acer platanoides,4,6,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,46.35,32.21,21.44,0,0,1,0,0,0,0.5,0.5,0,0,19.65537759,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.16,7,7,1,0,0,0,1,0,0,0,0,1,0,0,3.71548243479837,1.3979400086720377
Acer pseudoplatanus,4,5,6,NA,7,NA,NA,0,0,0,0,0,0,1,56.55,27.88,15.57,0,0,1,0,0,0,1,0,0,0,16.67988251,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.16,8,6,1,0,0,0,1,0,0,0,0,1,0,0,3.9224750308619933,1.4771212547196624
Achillea millefolium agg.,7,NA,5,NA,5,-0.247,0.47,0,0,0,1,0,0,0,22.02,58.81,19.18,0,0,0.5,0.5,0,0.5,0.5,0,0,0,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3.82,9,5,0,0,0,0,1,0,0,0,0,1,0,0,NA,-0.2596373105057561
Achillea nobilis,8,7,3,8,2,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,0,0,1,0,0,0.5,0.5,0,0,0,11.772,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.19,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,1.9726702173158381,-0.42596873227228116
Achillea ptarmica,7,5,8,4,4,-0.237,0.331,0,0,0,1,0,0,0,11.38,44.81,43.8,0,0,1,0,0,0,0.5,0,0.5,0,16.29580749,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5.94,4,2,0,0,0,0,1,0,0,0,0,1,0,0,2.0755469613925306,-0.18708664335714442
Acinos arvensis,9,7,2,7,2,-0.334,0.301,0,1,0,0,0,0,0,14.92,44.2,40.89,0,0,0,1,0,1,0,0,0,0,19.2375,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4.58,7,7,0,0,0,0,1,0,0,0,0,1,0,0,2.4061014065879345,-0.6289321377282637
Aconitum anthora,7,7,4,7,4,NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.33833333,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5.1,1,NA,0,0,0,0,0,1,0,0,0,1,0,0,3.348878998500363,-0.2041199826559248
