RS_CODE_PLOT.x,from.PlotObservationID,to.PlotObservationID,RS_CODE_PLOT.y,Releve_area_m2.x,RS_CODE_PLOT,Releve_area_m2.y,diff_area
CZ_0002_5,15824,15853,CZ_0002_5,100,CZ_0002_5,25,75
CZ_0002_7,15826,15855,CZ_0002_7,6,CZ_0002_7,4,2
CZ_0002_9,15828,15857,CZ_0002_9,6,CZ_0002_9,4,2
CZ_0002_11,15830,15859,CZ_0002_11,100,CZ_0002_11,25,75
CZ_0002_13,15831,15860,CZ_0002_13,25,CZ_0002_13,4,21
CZ_0002_14,15832,15861,CZ_0002_14,25,CZ_0002_14,4,21
CZ_0002_15,15833,15862,CZ_0002_15,6,CZ_0002_15,4,2
CZ_0002_16,15834,15863,CZ_0002_16,25,CZ_0002_16,4,21
CZ_0002_17,15835,15864,CZ_0002_17,25,CZ_0002_17,4,21
CZ_0002_18,15836,15865,CZ_0002_18,6,CZ_0002_18,4,2
CZ_0002_20,15838,15867,CZ_0002_20,100,CZ_0002_20,30,70
CZ_0002_22,15840,15869,CZ_0002_22,2.5,CZ_0002_22,4,-1.5
CZ_0003_1,18061,622634,CZ_0003_1,4,CZ_0003_1,16,-12
CZ_0003_8,18062,622632,CZ_0003_8,4,CZ_0003_8,50,-46
CZ_0003_19,18063,622616,CZ_0003_19,4,CZ_0003_19,20,-16
CZ_0003_22,18065,622622,CZ_0003_22,4,CZ_0003_22,25,-21
CZ_0003_23,18066,622619,CZ_0003_23,4,CZ_0003_23,25,-21
CZ_0003_24,18067,622635,CZ_0003_24,30,CZ_0003_24,50,-20
CZ_0003_25,18068,622628,CZ_0003_25,4,CZ_0003_25,25,-21
CZ_0003_2,18070,622613,CZ_0003_2,4,CZ_0003_2,2,2
CZ_0003_3,18071,622627,CZ_0003_3,4,CZ_0003_3,25,-21
CZ_0003_6,18072,622629,CZ_0003_6,4,CZ_0003_6,6,-2
CZ_0003_7,18073,622623,CZ_0003_7,4,CZ_0003_7,40,-36
CZ_0003_9,18074,622609,CZ_0003_9,4,CZ_0003_9,6,-2
CZ_0003_10,18075,622624,CZ_0003_10,4,CZ_0003_10,25,-21
CZ_0003_11,18076,622620,CZ_0003_11,4,CZ_0003_11,50,-46
CZ_0003_12,18077,622614,CZ_0003_12,4,CZ_0003_12,8,-4
CZ_0003_14,18079,622621,CZ_0003_14,4,CZ_0003_14,25,-21
CZ_0003_15,18080,622625,CZ_0003_15,4,CZ_0003_15,25,-21
CZ_0003_17,18082,622626,CZ_0003_17,4,CZ_0003_17,25,-21
CZ_0003_4,18085,622607,CZ_0003_4,4,CZ_0003_4,2,2
CZ_0011_42,7164,599879,CZ_0011_42,25,CZ_0011_42,36,-11
CZ_0011_57,7172,599941,CZ_0011_57,25,CZ_0011_57,36,-11
CZ_0011_58,7175,599938,CZ_0011_58,20,CZ_0011_58,25,-5
CZ_0019_027_14,5856,604551,CZ_0019_027_14,25,CZ_0019_027_14,30,-5
CZ_0019_042_15,653694,670153,CZ_0019_042_15,100,CZ_0019_042_15,25,75
CZ_0019_042_80,653701,653943,CZ_0019_042_80,8,CZ_0019_042_80,4,4
CZ_0019_042_2,653703,653916,CZ_0019_042_2,16,CZ_0019_042_2,25,-9
CZ_0019_042_71,653704,653857,CZ_0019_042_71,16,CZ_0019_042_71,25,-9
CZ_0019_042_24,653705,653858,CZ_0019_042_24,16,CZ_0019_042_24,100,-84
CZ_0019_042_148,653710,653933,CZ_0019_042_148,16,CZ_0019_042_148,9,7
CZ_0019_042_22,653712,653931,CZ_0019_042_22,16,CZ_0019_042_22,2,14
CZ_0019_042_116,653809,653942,CZ_0019_042_116,25,CZ_0019_042_116,9,16
CZ_0019_042_137,653812,653820,CZ_0019_042_137,16,CZ_0019_042_137,25,-9
CZ_0019_042_128,653851,653856,CZ_0019_042_128,16,CZ_0019_042_128,25,-9
CZ_0019_042_57,653862,653865,CZ_0019_042_57,16,CZ_0019_042_57,25,-9
CZ_0019_042_65,653869,653872,CZ_0019_042_65,16,CZ_0019_042_65,25,-9
CZ_0019_042_54,653877,653879,CZ_0019_042_54,12,CZ_0019_042_54,25,-13
CZ_0019_042_125,653882,653892,CZ_0019_042_125,25,CZ_0019_042_125,100,-75
CZ_0019_042_78,653883,653891,CZ_0019_042_78,25,CZ_0019_042_78,100,-75
CZ_0019_042_77,653884,653890,CZ_0019_042_77,25,CZ_0019_042_77,100,-75
CZ_0019_042_124,653885,653945,CZ_0019_042_124,25,CZ_0019_042_124,100,-75
CZ_0019_042_126,653887,653895,CZ_0019_042_126,16,CZ_0019_042_126,25,-9
CZ_0019_042_127,653888,653894,CZ_0019_042_127,16,CZ_0019_042_127,25,-9
CZ_0019_042_10,653897,653905,CZ_0019_042_10,4,CZ_0019_042_10,6,-2
CZ_0019_042_104,653898,653911,CZ_0019_042_104,8,CZ_0019_042_104,25,-17
CZ_0019_042_13,653899,653912,CZ_0019_042_13,9,CZ_0019_042_13,25,-16
CZ_0019_042_11,653900,653906,CZ_0019_042_11,9,CZ_0019_042_11,16,-7
CZ_0019_042_59,653901,653907,CZ_0019_042_59,9,CZ_0019_042_59,16,-7
CZ_0019_042_102,653902,653908,CZ_0019_042_102,9,CZ_0019_042_102,16,-7
CZ_0019_042_103,653903,653909,CZ_0019_042_103,9,CZ_0019_042_103,16,-7
CZ_0019_042_60,653913,653927,CZ_0019_042_60,10,CZ_0019_042_60,16,-6
CZ_0019_042_113,653914,653922,CZ_0019_042_113,9,CZ_0019_042_113,25,-16
CZ_0019_042_95,653915,653926,CZ_0019_042_95,8,CZ_0019_042_95,10,-2
CZ_0019_042_51,653917,653930,CZ_0019_042_51,9,CZ_0019_042_51,25,-16
CZ_0019_042_66,653918,653923,CZ_0019_042_66,16,CZ_0019_042_66,25,-9
