PlotObservationID,TV2_releve_number,RS_CODE,Releve_area_m2,Longitude,Latitude,year,veg_type0,RS_CODE_PLOT,n_surveys
15812,903030,CZ_0002,2,15.231111,50.832778,1991,R,CZ_0002_1,3
15841,903059,CZ_0002,2,15.231111,50.832778,2005,R,CZ_0002_1,3
15871,903089,CZ_0002,NA,15.231111,50.832778,2012,R,CZ_0002_1,3
15830,903048,CZ_0002,100,15.328611,50.828333,1991,R,CZ_0002_11,3
15859,903077,CZ_0002,25,15.328611,50.828333,2008,R,CZ_0002_11,3
15886,903104,CZ_0002,NA,15.328611,50.828333,2012,R,CZ_0002_11,3
15813,903031,CZ_0002,4,15.230833,50.8325,1991,R,CZ_0002_12,3
15842,903060,CZ_0002,4,15.230833,50.8325,2005,R,CZ_0002_12,3
15872,903090,CZ_0002,NA,15.230833,50.8325,2012,R,CZ_0002_12,3
15831,903049,CZ_0002,25,15.327778,50.828056,1991,M,CZ_0002_13,4
15860,903078,CZ_0002,4,15.327778,50.828056,2005,M,CZ_0002_13,4
15870,903088,CZ_0002,4,15.327778,50.828056,2008,M,CZ_0002_13,4
15887,903105,CZ_0002,NA,15.327778,50.828056,2012,M,CZ_0002_13,4
15832,903050,CZ_0002,25,15.336389,50.829444,1991,M,CZ_0002_14,3
15861,903079,CZ_0002,4,15.336389,50.829444,2005,M,CZ_0002_14,3
15888,903106,CZ_0002,NA,15.336389,50.829444,2012,M,CZ_0002_14,3
15833,903051,CZ_0002,6,15.335833,50.829444,1991,R,CZ_0002_15,3
15862,903080,CZ_0002,4,15.335833,50.829444,2005,R,CZ_0002_15,3
15889,903107,CZ_0002,NA,15.335833,50.829444,2012,R,CZ_0002_15,3
15834,903052,CZ_0002,25,15.335556,50.829444,1991,R,CZ_0002_16,3
15863,903081,CZ_0002,4,15.335556,50.829444,2005,R,CZ_0002_16,3
15890,903108,CZ_0002,NA,15.335556,50.829444,2012,R,CZ_0002_16,3
15835,903053,CZ_0002,25,15.335556,50.829722,1991,R,CZ_0002_17,3
15864,903082,CZ_0002,4,15.335556,50.829722,2005,R,CZ_0002_17,3
15891,903109,CZ_0002,NA,15.335556,50.829722,2012,R,CZ_0002_17,3
15836,903054,CZ_0002,6,15.335556,50.829444,1991,R,CZ_0002_18,3
15865,903083,CZ_0002,4,15.335556,50.829444,2005,R,CZ_0002_18,3
15892,903110,CZ_0002,NA,15.335556,50.829444,2012,R,CZ_0002_18,3
15837,903055,CZ_0002,2,15.335833,50.829444,1991,R,CZ_0002_19,3
15866,903084,CZ_0002,3,15.335833,50.829444,2005,R,CZ_0002_19,3
15893,903111,CZ_0002,NA,15.335833,50.829444,2012,R,CZ_0002_19,3
15821,903039,CZ_0002,4,15.304167,50.845556,1991,R,CZ_0002_2,3
15850,903068,CZ_0002,4,15.304167,50.845556,2005,R,CZ_0002_2,3
15879,903097,CZ_0002,NA,15.304167,50.845556,2012,R,CZ_0002_2,3
15838,903056,CZ_0002,100,15.335556,50.828889,1991,R,CZ_0002_20,3
15867,903085,CZ_0002,30,15.335556,50.828889,2005,R,CZ_0002_20,3
15894,903112,CZ_0002,NA,15.335556,50.828889,2012,R,CZ_0002_20,3
15840,903058,CZ_0002,2.5,15.244444,50.831389,1991,R,CZ_0002_22,3
15869,903087,CZ_0002,4,15.244444,50.831389,2005,R,CZ_0002_22,3
15895,903113,CZ_0002,NA,15.244444,50.831389,2012,R,CZ_0002_22,3
15814,903032,CZ_0002,4.5,15.230833,50.833611,1991,R,CZ_0002_23,3
15843,903061,CZ_0002,4.5,15.230833,50.833611,2005,R,CZ_0002_23,3
15873,903091,CZ_0002,NA,15.230833,50.833611,2012,R,CZ_0002_23,3
15816,903034,CZ_0002,4,15.245,50.831389,1991,R,CZ_0002_25,3
15845,903063,CZ_0002,4,15.245,50.831389,2005,R,CZ_0002_25,3
15875,903093,CZ_0002,NA,15.245,50.831389,2012,R,CZ_0002_25,3
15818,903036,CZ_0002,36,15.244722,50.831667,1991,R,CZ_0002_27,3
15847,903065,CZ_0002,36,15.244722,50.831667,2005,R,CZ_0002_27,3
15876,903094,CZ_0002,NA,15.244722,50.831667,2012,R,CZ_0002_27,3
15819,903037,CZ_0002,4,15.245278,50.831389,1991,R,CZ_0002_28,3
15848,903066,CZ_0002,4,15.245278,50.831389,2005,R,CZ_0002_28,3
15877,903095,CZ_0002,NA,15.245278,50.831389,2012,R,CZ_0002_28,3
15820,903038,CZ_0002,4,15.244722,50.831389,1991,R,CZ_0002_29,3
15849,903067,CZ_0002,4,15.244722,50.831389,2005,R,CZ_0002_29,3
15878,903096,CZ_0002,NA,15.244722,50.831389,2012,R,CZ_0002_29,3
15822,903040,CZ_0002,4,15.304167,50.845833,1991,R,CZ_0002_3,3
15851,903069,CZ_0002,4,15.304167,50.845833,2005,R,CZ_0002_3,3
15880,903098,CZ_0002,NA,15.304167,50.845833,2012,R,CZ_0002_3,3
15824,903042,CZ_0002,100,15.304444,50.845556,1991,R,CZ_0002_5,3
15853,903071,CZ_0002,25,15.304444,50.845556,2005,R,CZ_0002_5,3
15881,903099,CZ_0002,NA,15.304444,50.845556,2012,R,CZ_0002_5,3
15825,903043,CZ_0002,6,15.328056,50.827778,1991,R,CZ_0002_6,3
15854,903072,CZ_0002,6,15.328056,50.827778,2008,R,CZ_0002_6,3
15882,903100,CZ_0002,NA,15.328056,50.827778,2012,R,CZ_0002_6,3
15826,903044,CZ_0002,6,15.327778,50.827778,1991,R,CZ_0002_7,3
15855,903073,CZ_0002,4,15.327778,50.827778,2008,R,CZ_0002_7,3
15883,903101,CZ_0002,NA,15.327778,50.827778,2012,R,CZ_0002_7,3
15827,903045,CZ_0002,4,15.328056,50.828056,1991,R,CZ_0002_8,3
15856,903074,CZ_0002,4,15.328056,50.828056,2008,R,CZ_0002_8,3
15884,903102,CZ_0002,NA,15.328056,50.828056,2012,R,CZ_0002_8,3
15828,903046,CZ_0002,6,15.328333,50.827222,1991,R,CZ_0002_9,3
15857,903075,CZ_0002,4,15.328333,50.827222,2005,R,CZ_0002_9,3
15885,903103,CZ_0002,NA,15.328333,50.827222,2012,R,CZ_0002_9,3
622624,424650,CZ_0003,25,17.115306,50.164056,1993,R,CZ_0003_10,2
18075,487670,CZ_0003,4,17.115306,50.164056,2008,R,CZ_0003_10,2
622620,424646,CZ_0003,50,17.114861,50.164194,1993,R,CZ_0003_11,2
18076,487671,CZ_0003,4,17.114861,50.164194,2008,R,CZ_0003_11,2
622614,424640,CZ_0003,8,17.115722,50.164028,1993,R,CZ_0003_12,2
18077,487672,CZ_0003,4,17.115722,50.164028,2008,R,CZ_0003_12,2
622604,424630,CZ_0003,4,17.110722,50.160917,1994,R,CZ_0003_13,2
18078,487673,CZ_0003,4,17.110722,50.160917,2008,R,CZ_0003_13,2
622621,424647,CZ_0003,25,17.110694,50.161,1994,R,CZ_0003_14,2
18079,487674,CZ_0003,4,17.110694,50.161,2008,R,CZ_0003_14,2
622625,424651,CZ_0003,25,17.107333,50.159167,1994,R,CZ_0003_15,2
18080,487675,CZ_0003,4,17.107333,50.159167,2008,R,CZ_0003_15,2
622605,424631,CZ_0003,4,17.106722,50.158917,1994,R,CZ_0003_16,2
18081,487676,CZ_0003,4,17.106722,50.158917,2008,R,CZ_0003_16,2
622626,424652,CZ_0003,25,17.106806,50.15875,1994,R,CZ_0003_17,2
18082,487677,CZ_0003,4,17.106806,50.15875,2008,R,CZ_0003_17,2
622606,424632,CZ_0003,4,17.106722,50.158667,1994,R,CZ_0003_18,2
18083,487678,CZ_0003,4,17.106722,50.158667,2008,R,CZ_0003_18,2
622616,424642,CZ_0003,20,17.218861,50.047222,1991,R,CZ_0003_19,2
18063,487658,CZ_0003,4,17.218861,50.047222,2008,R,CZ_0003_19,2
