variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n
wind_pollination_wm,(Intercept),0.5022112864773729,0.07256064458059497,0.12190084072632233,0.9029775497912855,0.4667065752499121,0.537693711158846,2746
wind_pollination_uwm,(Intercept),0.5376329800367297,0.04615695624574769,3.267484582674036,0.001085077762715164,0.5150832149501328,0.5600298284688155,2650
symbiosis_N_fixers_wm,(Intercept),0.5118530653875734,0.0676152622854431,0.7013379011538157,0.4830921660273512,0.4787372480564257,0.5448651601265133,1937
symbiosis_N_fixers_uwm,(Intercept),0.5037571355339626,0.058963053717054695,0.254885458885905,0.7988115675566294,0.47488698998287526,0.5326022492550506,1840
richness,(Intercept),0.5588634347016552,0.10802525466070527,2.1897716585370723,0.028540801138878063,0.506205939412382,0.6102293187760178,2366
non_myrmecochorous_wm,(Intercept),0.4883329115751623,0.05264547625969497,-0.8866255913725763,0.3752805110534277,0.46260494280396974,0.5141228451003346,2505
non_myrmecochorous_uwm,(Intercept),0.4748767415497621,0.047307248605362416,-2.1260533451931987,0.03349881800946543,0.4518253479123157,0.4980357024368768,2375
no_nitrogen_fixing_wm,(Intercept),0.48688046709486155,0.06832141739978946,-0.7682829503125879,0.4423191016613778,0.45353502973067805,0.5203430980797806,1956
no_nitrogen_fixing_uwm,(Intercept),0.49616774268874975,0.05782106709873365,-0.26511668136882754,0.7909195771307704,0.4678801584806751,0.5244798818271108,1859
neophyte_wm,(Intercept),0.5719879235907738,0.20710124143668707,1.400119407535683,0.16147756428084256,0.4710463016987466,0.6672731150561274,391
neophyte_uwm,(Intercept),0.593647156651714,0.17035191382198886,2.2251776779518013,0.026069312740463542,0.5112929941865588,0.6710519878902633,382
native_wm,(Intercept),0.46225577644924476,0.09958887458326307,-1.518891143946471,0.12878989855802334,0.41424227268601405,0.5109797215701942,1269
native_uwm,(Intercept),0.4613560604317217,0.10367303495285375,-1.4939723522137756,0.13518284579206333,0.4114244079770932,0.5120753432038248,1222
myrmecochorous_wm,(Intercept),0.5194162431237438,0.05171878854684322,1.50243361544919,0.13298516031483465,0.49408454691598325,0.5446485062136154,2563
myrmecochorous_uwm,(Intercept),0.5054110114045155,0.04715045834736106,0.45906002596933865,0.6461910613942425,0.48231530262865036,0.5284836501660969,2455
log_leaf_size_wm,(Intercept),0.5155550072349288,0.04146607074585493,1.5009889374693821,0.13335842288070543,0.4952421706682945,0.5358165783926391,2753
