variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,veg_type0,n
richness,veg_type0A,0.6890816053591478,0.42297151500343644,1.8815196649560038,0.059901262796288234,0.49170583272769125,0.8354612907334241,A,55
richness,veg_type0M,0.7059882721842731,0.3674221831819528,2.384121070370168,0.017119968998074532,0.5388825156167582,0.8314744520441342,M,65
richness,veg_type0R,0.6636871545900334,0.3283938503212945,2.069981124063196,0.038454112131777636,0.5090312556579865,0.7897483478428868,R,120
richness,veg_type0TD_mesic,0.4976275350108584,0.32140784175330517,-0.029526134537155403,0.9764449756783968,0.34537365340122245,0.6503226752031607,TD_mesic,80
richness,veg_type0TD_wet,0.6059497449590326,0.29810587508740033,1.443509294690762,0.14887705609344115,0.46158630276710283,0.733918508991847,TD_wet,217
richness,veg_type0TE,0.7531830158908093,0.3604645597839411,3.095064715841013,0.0019676995845071014,0.6008873053752457,0.8608249517796582,TE,65
richness,veg_type0TFG,0.6812159307453544,0.3882248234117764,1.9559938322370238,0.05046588067633409,0.499614672157093,0.8205785351805844,TFG,61
richness,veg_type0TH,0.6963556137899644,0.30573146837028536,2.7148112660890598,0.006631355029878533,0.5574404297612671,0.8067806736268432,TH,357
richness,veg_type0X,0.6160912128175003,0.38692701230857346,1.2224270192772348,0.22154618677334298,0.4291370149969963,0.7740553007177678,X,41
shannon,veg_type0A,0.7445003929909928,0.37666351211671795,2.8393844215367317,0.004520066636515493,0.5820624172795992,0.8590884415053841,A,57
shannon,veg_type0M,0.652051567799905,0.3016873242876898,2.0818553332940373,0.037355685742740175,0.5091922328815333,0.7719518972685655,M,66
shannon,veg_type0R,0.6409844123375856,0.2570508066506714,2.254960173956974,0.02413582871063927,0.5189481735881138,0.7471462432280521,R,121
shannon,veg_type0TD_mesic,0.5526565820783663,0.24565236234981325,0.8606073448504062,0.38945433929614826,0.43289247427883953,0.6666072928411935,TD_mesic,81
shannon,veg_type0TD_wet,0.6125976493592384,0.22233417046701584,2.061062128166542,0.03929711328954276,0.5056191563909354,0.7097173121952252,TD_wet,218
shannon,veg_type0TE,0.6483260444203288,0.3057008179152176,2.0009408059792864,0.045398769379684706,0.5031316210071354,0.7704496365791408,TE,65
shannon,veg_type0TFG,0.6011790703494979,0.3044739486697732,1.347833953149765,0.1777117947711224,0.45353999891006685,0.7324597365218669,TFG,63
shannon,veg_type0TH,0.642114414574761,0.22162731966539337,2.6375501134382175,0.008350728594574353,0.5374725040601129,0.7347650452001357,TH,360
shannon,veg_type0X,0.671317917740385,0.3236840897911865,2.206323622193419,0.02736134856176393,0.5199251164066755,0.7938942716641252,X,41
evenness,veg_type0A,0.7400859237645948,0.3528568162569914,2.9655518727807584,0.003021403874026878,0.5877879956765392,0.8504330846196951,A,64
evenness,veg_type0M,0.531290373819391,0.30270401739506486,0.4140191909135012,0.6788600523196455,0.38509832168065145,0.6723017912869614,M,64
evenness,veg_type0R,0.6773714907049112,0.2590897950867878,2.8627847638631883,0.0041993571983425845,0.5582127302600747,0.7772176229696366,R,127
evenness,veg_type0TD_mesic,0.5504248186906074,0.24292620970539977,0.8331224638291964,0.40477566560800515,0.43198932394563155,0.6634069355705359,TD_mesic,84
evenness,veg_type0TD_wet,0.5504571482074836,0.2233599632602558,0.9066885895479871,0.3645714991314091,0.44145488783514064,0.6548202362074232,TD_wet,218
evenness,veg_type0TE,0.5959188079337703,0.29749004506938564,1.305887735387994,0.19159073798517648,0.451507611222044,0.7254300060575953,TE,75
evenness,veg_type0TFG,0.4921014030388644,0.3006382015304218,-0.10509980507414812,0.9162966139767377,0.3495910982901648,0.6359070079354349,TFG,63
evenness,veg_type0TH,0.4946718300263558,0.21556329238292038,-0.09887345128538555,0.9212387484006122,0.39083355121605295,0.598971807987141,TH,363
evenness,veg_type0X,0.6080336028229623,0.31454862936007655,1.3958224345281223,0.16276797280882802,0.4557535557416108,0.7418407621833553,X,42
EIV_light_wm,veg_type0A,0.39051962113843686,0.33960758817157455,-1.3107143583019205,0.1899542858651176,0.24773161666634594,0.5549002861031145,A,73
EIV_light_wm,veg_type0M,0.33364118942218407,0.3020408268978386,-2.290293517060615,0.022004307381357623,0.21691234758320102,0.47507741991830554,M,79
EIV_light_wm,veg_type0R,0.23661509046104845,0.27086777701731807,-4.324352108579262,1.5298078964480586e-5,0.15417570827321447,0.34514786217023474,R,153
EIV_light_wm,veg_type0TD_mesic,0.5718469515786647,0.24557051341643957,1.1784422443467861,0.23862034472832028,0.45216705458857803,0.683672304595157,TD_mesic,85
EIV_light_wm,veg_type0TD_wet,0.5616089412645326,0.231862781287353,1.0682802649871663,0.2853941078732587,0.44849626256616765,0.6686614318804861,TD_wet,219
EIV_light_wm,veg_type0TE,0.2522248251950701,0.2983279888843597,-3.642908314347761,2.695748789117942e-4,0.15822514145638025,0.377054476129895,TE,75
EIV_light_wm,veg_type0TFG,0.3856437155508899,0.3133919917495678,-1.485874283432029,0.13731237695739343,0.25352529736034013,0.5370758005889934,TFG,63
EIV_light_wm,veg_type0TH,0.49233935600441675,0.22346967543175425,-0.13713258391489258,0.8909259975160617,0.38493878222772615,0.6004516988428423,TH,364
EIV_light_wm,veg_type0X,0.41878496276333854,0.31434541962133983,-1.042684928180149,0.29709424056471817,0.28011949913933815,0.5715902937767938,X,42
EIV_light_uwm,veg_type0A,0.48901156991467126,0.3114174194603795,-0.14116358281979025,0.8877407146362831,0.34201495813763116,0.6379334949860166,A,72
EIV_light_uwm,veg_type0M,0.2791378260490955,0.2775864685674898,-3.417826179782811,6.312340628059329e-4,0.18350156787836144,0.40018776420046687,M,79
EIV_light_uwm,veg_type0R,0.34995657233405497,0.22030147163519279,-2.8108305410577854,0.004941380373713774,0.2590306139343151,0.45327494396775786,R,152
EIV_light_uwm,veg_type0TD_mesic,0.6247362938723668,0.22043409513485537,2.312258615950184,0.020763435807669275,0.5194046860254943,0.7194517063950648,TD_mesic,85
