variable,term,estimate,std.error,statistic,p.value,conf.low,conf.high,n
richness,(Intercept),0.6504542300606859,0.24208968315795207,2.5653155259265157,0.010308201884244125,0.5365719104198431,0.7494204018108653,1061
shannon,(Intercept),0.6275407293920884,0.16246910601758788,3.2109543647592527,0.001322949421311423,0.5506376243313604,0.6984893265819134,1072
evenness,(Intercept),0.5574146204138359,0.15981450637883787,1.443398071551008,0.14890836704203572,0.4793730319555562,0.6327207298647186,1100
EIV_light_wm,(Intercept),0.43493383086727216,0.18276891348988622,-1.432130476846052,0.15210648378634162,0.34978840659215155,0.5240992016150305,1153
EIV_light_uwm,(Intercept),0.39581330837514567,0.13711046427628032,-3.0846703634862056,0.002037778664126069,0.3336611967633489,0.46152396437270293,1147
EIV_temp_wm,(Intercept),0.4956637232669065,0.19163277034739012,-0.09051448654002585,0.9278783826124095,0.4030100282331464,0.5886162064602076,1148
EIV_temp_uwm,(Intercept),0.514314547394607,0.145990449743079,0.3923122422913289,0.6948275191709344,0.4430328889480714,0.5850185812157808,1138
EIV_moist_wm,(Intercept),0.522794472382862,0.1885264550066434,0.48396992875248157,0.6284072107039762,0.43087944878625994,0.6131911798605464,1154
EIV_moist_uwm,(Intercept),0.5133729663577022,0.18950329677205313,0.2823413991430264,0.7776817443492552,0.42118395959694793,0.6046609801236683,1151
EIV_react_wm,(Intercept),0.47857107049042313,0.16172872764764099,-0.5303217181303421,0.5958888912271306,0.400651625259795,0.5575474105243245,1153
EIV_react_uwm,(Intercept),0.48327467663482715,0.1421823365164688,-0.4707072962750824,0.6378497733070843,0.4144501733813685,0.5527395916929958,1147
EIV_nutr_wm,(Intercept),0.6186010209740944,0.1446939747021964,3.3423264199709,8.307929869472933e-4,0.5498388276584215,0.6829169379436941,1154
EIV_nutr_uwm,(Intercept),0.6188293186913848,0.21527021369093027,2.2510417578596464,0.024382892700938883,0.5156599701099445,0.7122842623647322,1149
dist_freq_wm,(Intercept),0.48033337273270293,0.18550612315087073,-0.4242831119518678,0.6713593540458411,0.39119486353222727,0.5707417729296694,1154
dist_freq_uwm,(Intercept),0.49687940200791647,0.14738162304805735,-0.08469545787009944,0.93250350708845,0.42522866419567973,0.568658539408293,1151
dist_sev_wm,(Intercept),0.5382710663056985,0.20161623033150095,0.7607734677644855,0.4467923844403887,0.4398486630984353,0.6337979143314418,1154
dist_sev_uwm,(Intercept),0.5758692815807344,0.23227248284677177,1.3167250102797636,0.1879308170772361,0.46271764833318435,0.6815891850290053,1152
GF_annual_wm,(Intercept),0.4430527640796403,0.2960004076795994,-0.7729098718434453,0.4395757219778173,0.30811817453872675,0.5869493975323543,734
GF_annual_uwm,(Intercept),0.4689093971714142,0.26558859403279783,-0.4688569821889154,0.6391718665993835,0.344102004127611,0.5977312912797776,732
GF_monocarpic_wm,(Intercept),0.4554558193870926,0.1765794247073127,-1.0117280698377955,0.3116680904877815,0.37174460910336604,0.5417622138707314,859
GF_monocarpic_uwm,(Intercept),0.4574484390464521,0.14691004208600597,-1.161383829733586,0.245485841970249,0.38732811895581726,0.5292962662876592,859
GF_polycarpic_wm,(Intercept),0.4794109981537881,0.1396847905291543,-0.5899182213830939,0.555245477373209,0.4118846514290144,0.5476981520067105,1021
GF_polycarpic_uwm,(Intercept),0.3944882992727567,0.16041929358753865,-2.671027886302224,0.007561936428881879,0.32237022227960155,0.471513788681482,1016
GF_clonal_wm,(Intercept),0.4689632226259057,0.1478699504633709,-0.8406503840021037,0.40054382388075194,0.39792302801467344,0.5412840084295257,1151
GF_clonal_uwm,(Intercept),0.489649538451544,0.1792312736746497,-0.23102977967529978,0.8172916669321878,0.40306879853671623,0.5768557455688544,1146
LS_Pierce_C_wm,(Intercept),0.6267073789064675,0.2052479753857499,2.5243470069790055,0.011591344718587129,0.5289272785575325,0.7151227360377612,1154
LS_Pierce_C_uwm,(Intercept),0.46980906738567824,0.1510503453769022,-0.800467016637006,0.4234402661672868,0.3972434525912612,0.5436740201731676,1149
LS_Pierce_S_wm,(Intercept),0.4433248060368044,0.19736063744504592,-1.1536202973921947,0.248655873126826,0.351033604420837,0.5397013726148107,1154
LS_Pierce_S_uwm,(Intercept),0.4922304877632742,0.19354389324112656,-0.16058657377775704,0.8724190302202328,0.3988115106053675,0.5861952083997923,1151
LS_Pierce_R_wm,(Intercept),0.49834862486710446,0.19779338309644096,-0.03339608457209774,0.9733587319815685,0.402688983670653,0.5941293111477809,1154
LS_Pierce_R_uwm,(Intercept),0.5334831115417352,0.16966482397551177,0.7905774987180807,0.4291905816514864,0.4505611318008809,0.6145953201823998,1154
