RS_CODE_PLOT,veg_type0,species_name,lm_change,p
CZ_0002_1,R,Empetrum nigrum agg.,-3.3785465727795922,0.999687500277331
CZ_0002_1,R,Eriophorum vaginatum,3.378546547203465,0.9996875002384825
CZ_0002_12,R,Betula species,-3.3785465727795922,0.999687500277331
CZ_0002_12,R,Carex pauciflora,-0.048363999055395124,0.746807765122335
CZ_0002_12,R,Picea abies,-3.3785465727795922,0.999687500277331
CZ_0002_12,R,Vaccinium myrtillus,-3.3785465727795922,0.999687500277331
CZ_0002_12,R,Vaccinium uliginosum,-3.3785465727795922,0.999687500277331
CZ_0002_19,R,Calluna vulgaris,3.378546547203465,0.9996875002384825
CZ_0002_19,R,Drosera rotundifolia,3.378546547203465,0.9996875002384825
CZ_0002_19,R,Eriophorum angustifolium,3.378546547203465,0.9996875002384825
CZ_0002_19,R,Vaccinium oxycoccos agg.,3.378546547203465,0.9996875002384825
CZ_0002_2,R,Molinia caerulea agg.,3.378546547203465,0.9996875002384825
CZ_0002_23,R,Calluna vulgaris,3.378546547203465,0.9996875002384825
CZ_0002_23,R,Carex pauciflora,6.7342907024528476,0.999668236645035
CZ_0002_23,R,Drosera rotundifolia,-0.048363999055395124,0.746807765122335
CZ_0002_23,R,Eriophorum angustifolium,3.378546547203465,0.9996875002384825
CZ_0002_23,R,Eriophorum vaginatum,-6.734290754776862,0.9996682366783783
CZ_0002_23,R,Vaccinium uliginosum,3.378546547203465,0.9996875002384825
CZ_0002_25,R,Andromeda polifolia,3.378546547203465,0.9996875002384825
CZ_0002_25,R,Empetrum nigrum agg.,-3.3785465727795922,0.999687500277331
CZ_0002_25,R,Pinus mugo,-3.3785465727795922,0.999687500277331
CZ_0002_25,R,Trichophorum cespitosum,3.378546547203465,0.9996875002384825
CZ_0002_25,R,Vaccinium uliginosum,-6.734290754776862,0.9996682366783783
CZ_0002_27,R,Drosera rotundifolia,3.378546547203465,0.9996875002384825
CZ_0002_28,R,Carex pauciflora,-3.3785465727795922,0.999687500277331
CZ_0002_28,R,Drosera rotundifolia,-3.3785465727795922,0.999687500277331
CZ_0002_28,R,Empetrum nigrum agg.,3.378546547203465,0.9996875002384825
CZ_0002_28,R,Picea abies,-3.3785465727795922,0.999687500277331
CZ_0002_29,R,Empetrum nigrum agg.,6.7342907024528476,0.999668236645035
CZ_0002_29,R,Picea abies,-3.3785465727795922,0.999687500277331
CZ_0002_29,R,Pinus mugo,6.7342907024528476,0.999668236645035
CZ_0002_29,R,Trichophorum cespitosum,3.378546547203465,0.9996875002384825
CZ_0002_3,R,Calluna vulgaris,6.7342907024528476,0.999668236645035
CZ_0002_3,R,Carex canescens,0.048363999055395096,0.746807765122335
CZ_0002_3,R,Carex pauciflora,6.7342907024528476,0.999668236645035
CZ_0002_3,R,Carex rostrata,3.378546547203465,0.9996875002384825
CZ_0002_6,R,Calluna vulgaris,2.700846797825445,0.9995714959410336
CZ_0002_6,R,Carex rostrata,11.402905840070211,0.9995270961526133
CZ_0002_6,R,Scheuchzeria palustris,-2.7008468135281176,0.9995714959772664
CZ_0002_8,R,Drosera rotundifolia,-0.09506741675964442,0.5876775941644066
CZ_0002_8,R,Empetrum nigrum agg.,2.700846797825445,0.9995714959410336
CZ_0003_16,R,Eriophorum vaginatum,3.366581245570438,0.9996653563219912
CZ_0003_16,R,Vaccinium oxycoccos agg.,3.366581245570438,0.9996653563219912
CZ_0003_18,R,Andromeda polifolia,-3.3665812437963676,0.9996653563200897
CZ_0003_20,R,Carex pauciflora,3.366581245570438,0.9996653563219912
CZ_0003_20,R,Empetrum nigrum agg.,-3.3665812437963676,0.9996653563200897
CZ_0003_21,R,Carex limosa,-2.7724786712925042,0.9996653563199995
CZ_0003_26,R,Avenella flexuosa,-2.7724786712925042,0.9996653563199995
CZ_0003_26,R,Carex pauciflora,2.77247867130028,0.9996653563200096
CZ_0003_5,R,Calamagrostis villosa,3.142142494131869,0.99966535632
CZ_0003_5,R,Luzula sylvatica,3.142142494131869,0.99966535632
CZ_0003_5,R,Vaccinium vitis-idaea,3.142142494131869,0.99966535632
CZ_0004_1,TH,Agrimonia eupatoria,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Ajuga genevensis,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Allium oleraceum,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Arabis auriculata,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Arabis pauciflora,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Arenaria serpyllifolia,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Arrhenatherum elatius,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Brachypodium pinnatum,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Carpinus betulus,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Centaurea stoebe,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Cornus mas,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Crataegus species,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Echium vulgare,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Elymus hispidus,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Fragaria vesca,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Galium glaucum,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Galium mollugo agg.,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Hypericum perforatum,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Melica ciliata agg.,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Microthlaspi perfoliatum,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Origanum vulgare,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Papaver dubium agg.,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Polygonatum odoratum,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Potentilla verna agg.,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Rhamnus cathartica,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Sanguisorba minor,-1.745634718973144,0.9996653563200227
CZ_0004_1,TH,Sedum album,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Sedum sexangulare,1.7456347190055488,0.9996653563200897
CZ_0004_1,TH,Verbascum chaixii subsp. austriacum,1.7456347190055488,0.9996653563200897
